"Area"	"Mean"	"Min"	"Max"	"BX"	"BY"	"Width"	"Height"	"Feret"	"FeretX"	"FeretY"	"FeretAngle"	"MinFeret"	"source"	"pbad24"	"pbad33"
1.128	255	255	255	159.098	33.537	1.252	1.207	1.306	3564	776	51.953	1.207	"deltaefpuup_dera24empty33"	"dera24"	"empty33"
0.732	255	255	255	176.76	33.671	0.984	1.028	1.052	3963	776	77.735	0.984	"deltaefpuup_dera24empty33"	"dera24"	"empty33"
1.02	255	255	255	155.118	34.52	1.252	1.118	1.259	3469	779	163.496	1.094	"deltaefpuup_dera24empty33"	"dera24"	"empty33"
0.338	255	255	255	142.598	35.951	1.341	0.447	1.36	3189	809	170.538	0.425	"deltaefpuup_dera24empty33"	"dera24"	"empty33"
0.898	255	255	255	170.321	38.142	1.163	1.028	1.216	3809	856	162.897	1.028	"deltaefpuup_dera24empty33"	"dera24"	"empty33"
1.15	255	255	255	175.195	38.858	1.297	1.252	1.345	3918	878	164.578	1.202	"deltaefpuup_dera24empty33"	"dera24"	"empty33"
1.116	255	255	255	153.553	39.931	1.297	1.163	1.327	3437	914	32.619	1.163	"deltaefpuup_dera24empty33"	"dera24"	"empty33"
0.932	255	255	255	157.443	40.423	1.207	1.118	1.228	3521	910	169.509	1.107	"deltaefpuup_dera24empty33"	"dera24"	"empty33"
1.196	255	255	255	150.154	40.602	1.386	1.207	1.404	3358	920	9.162	1.207	"deltaefpuup_dera24empty33"	"dera24"	"empty33"
0.878	255	255	255	180.829	45.073	1.207	0.984	1.228	4044	1018	10.491	0.984	"deltaefpuup_dera24empty33"	"dera24"	"empty33"
0.946	255	255	255	181.187	46.862	1.252	1.073	1.259	4052	1056	173.884	1.069	"deltaefpuup_dera24empty33"	"dera24"	"empty33"
0.872	255	255	255	143.85	51.87	1.252	0.984	1.255	3217	1168	4.086	0.984	"deltaefpuup_dera24empty33"	"dera24"	"empty33"
0.366	255	255	255	173.049	57.459	0.76	1.028	1.253	3870	1285	124.824	0.632	"deltaefpuup_dera24empty33"	"dera24"	"empty33"
0.96	255	255	255	137.366	59.561	1.207	1.073	1.259	3072	1347	16.504	1.073	"deltaefpuup_dera24empty33"	"dera24"	"empty33"
1.032	255	255	255	165.894	60.098	1.297	1.118	1.304	3710	1350	174.094	1.109	"deltaefpuup_dera24empty33"	"dera24"	"empty33"
0.404	255	255	255	142.955	61.439	1.52	0.492	1.523	3197	1382	176.634	0.479	"deltaefpuup_dera24empty33"	"dera24"	"empty33"
1.414	255	255	255	142.598	62.02	1.833	1.565	2.228	3191	1420	38.48	1.37	"deltaefpuup_dera24empty33"	"dera24"	"empty33"
1.136	255	255	255	194.87	62.736	1.252	1.207	1.342	4366	1429	60.018	1.195	"deltaefpuup_dera24empty33"	"dera24"	"empty33"
0.47	255	255	255	156.683	63.362	1.565	0.492	1.571	3504	1425	175.101	0.481	"deltaefpuup_dera24empty33"	"dera24"	"empty33"
0.456	255	255	255	185.211	63.898	0.894	0.715	0.921	4144	1442	29.055	0.715	"deltaefpuup_dera24empty33"	"dera24"	"empty33"
0.326	255	255	255	196.211	64.077	0.76	0.626	0.796	4389	1444	38.157	0.607	"deltaefpuup_dera24empty33"	"dera24"	"empty33"
