Colony_width	EFP_plasmid	EarP_plasmid
0.268	M.prima	earp
0.402	M.prima	earp
0.492	M.prima	earp
0.358	M.prima	earp
0.313	M.prima	earp
0.268	M.prima	earp
0.358	M.prima	earp
0.224	M.prima	earp
0.492	M.prima	earp
0.358	M.prima	earp
0.537	M.prima	earp
0.179	M.prima	earp
0.402	M.prima	earp
0.447	M.prima	earp
0.492	M.prima	earp
0.268	M.prima	earp
0.581	M.prima	earp
0.402	M.prima	earp
1.028	N.communis	earp
1.341	N.communis	earp
2.146	N.communis	earp
0.715	N.communis	earp
1.386	N.communis	earp
1.386	N.communis	earp
1.073	N.communis	earp
1.252	N.communis	earp
1.386	N.communis	earp
1.61	N.communis	earp
1.297	N.communis	earp
1.386	N.communis	earp
1.252	N.communis	earp
1.386	N.communis	earp
0.984	N.communis	earp
1.252	N.communis	earp
0.894	N.communis	earp
1.386	N.communis	earp
1.878	N.communis	earp
1.028	N.communis	earp
0.984	N.communis	earp
1.252	N.communis	earp
1.118	N.communis	earp
1.476	N.communis	earp
1.431	N.communis	earp
1.341	N.communis	earp
1.386	N.communis	earp
1.341	N.communis	earp
1.341	N.communis	earp
1.386	N.communis	earp
1.341	N.communis	earp
1.118	N.communis	earp
1.297	N.communis	earp
1.341	N.communis	earp
1.341	N.communis	earp
1.565	N.communis	earp
1.386	N.communis	earp
1.207	N.communis	earp
1.61	N.communis	earp
1.073	N.communis	earp
1.476	N.communis	earp
1.431	N.communis	earp
1.118	N.communis	earp
1.163	N.communis	earp
1.252	N.communis	earp
1.118	N.communis	earp
0.984	N.communis	earp
1.341	N.communis	earp
1.073	N.communis	earp
0.671	N.communis	earp
0.85	N.communis	earp
0.581	N.communis	earp
1.386	N.communis	earp
1.61	N.communis	earp
1.073	N.communis	earp
0.894	N.communis	earp
0.894	N.communis	earp
1.386	N.communis	earp
1.297	N.communis	earp
1.297	N.communis	earp
1.028	N.communis	earp
1.118	N.communis	earp
1.341	N.communis	earp
